date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:37	67/67	---MCZ	200	added ('OK')	text/plain	date:Fri,%2010%20Feb%202017%2004:39:38%20GMT	https://sites.google.com/robots.txt		(from )
10:09:37	46396/46396	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202017%2016:05:52%20GMT	https://sites.google.com/site/microprocessorsbits/	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/index.html	(from )
10:09:38	10006/10006	---MC-	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202017%2004:39:39%20GMT	https://sites.google.com/site/microprocessorsbits/_/rsrc/1486051552000/system/app/css/editor.css	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/_/rsrc/1486051552000/system/app/css/editor.css	(from https://sites.google.com/site/microprocessorsbits/)
10:09:39	3970/3970	---MC-	200	added ('OK')	text/css	date:Thu,%2009%20Feb%202017%2017:20:34%20GMT	https://sites.google.com/site/microprocessorsbits/_/rsrc/1486051552000/system/app/css/overlay.css?cb=iceberg3a100%25150goog-ws-leftnone30themedefaultstandard	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/_/rsrc/1486051552000/system/app/css/overlay5ae9.css	(from https://sites.google.com/site/microprocessorsbits/)
10:09:39	2225/2225	---MC-	200	added ('OK')	text/css	date:Thu,%2009%20Feb%202017%2017:20:34%20GMT	https://sites.google.com/site/microprocessorsbits/_/rsrc/1486051552000/system/app/css/camelot/allthemes-view.css	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/_/rsrc/1486051552000/system/app/css/camelot/allthemes-view.css	(from https://sites.google.com/site/microprocessorsbits/)
10:09:40	50499/50499	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:42	50938/50938	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/aaa	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/aaa.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:43	50492/50492	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/aad	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/aad.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:44	51169/51169	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/aam	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/aam.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:45	51879/51879	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/aas	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/aas.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:46	60298/60298	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/adc	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/adc.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:48	60315/60315	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/add	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/add.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:49	61508/61508	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/cmp	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/cmp.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:50	45841/45841	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/daa	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/daa.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:51	46212/46212	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/das	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/das.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:53	45886/45886	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/dec	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/dec.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:54	56850/56850	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/div	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/div.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:55	59904/59904	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/idiv	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/idiv.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:57	71717/71717	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/imul	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/imul.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:58	54128/54128	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/inc	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/inc.html	(from https://sites.google.com/site/microprocessorsbits/)
10:09:59	57802/57802	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/mul	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/mul.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:00	54362/54362	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/neg	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/neg.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:01	61715/61715	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/sbb	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/sbb.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:02	60895/60895	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/sub	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/sub.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:04	50827/50827	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/arithmetic-instructions/xadd	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/arithmetic-instructions/xadd.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:05	49106/49106	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:06	52465/52465	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/bswap	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/bswap.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:07	58755/58755	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/logical-and	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/logical-and.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:09	52884/52884	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/logical-not	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/logical-not.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:10	60033/60033	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/logical-or	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/logical-or.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:11	59000/59000	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/logical-xor	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/logical-xor.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:12	62480/62480	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/rcl	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/rcl.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:13	61967/61967	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/rcr	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/rcr.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:15	61847/61847	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/rol	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/rol.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:16	62022/62022	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/ror	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/ror.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:18	61874/61874	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/sar	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/sar.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:22	61927/61927	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/shl-sal	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/shl-sal.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:23	62695/62695	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/shr	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/shr.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:25	55753/55753	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/shrd-shld	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/bit-manipulation-instructions/shrd-shld.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:26	48208/48208	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/data-transfer	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/data-transfer.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:27	49068/49068	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/data-transfer/cmpxchg	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/data-transfer/cmpxchg.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:28	51380/51380	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/data-transfer/lahf	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/data-transfer/lahf.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:29	53060/53060	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/data-transfer/lar	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/data-transfer/lar.html	(from https://sites.google.com/site/microprocessorsbits/)
